Name,Location,TweetsCount
PUBG,日本,76
PUBG,India,50
PUBG,United States,32
PUBG,"New Delhi, India",16
PUBG,Indonesia,13
CLASH,Supercell Network #COC,28
CLASH,United States,9
CLASH,Clash of Clans,9
CLASH,"Shanghai, People's Republic of China",8
CLASH,Hull,7
MINECRAFT,United States,346
MINECRAFT,日本,290
MINECRAFT,"California, USA",173
MINECRAFT,"Houston, TX",154
MINECRAFT,France,146
MK11,United States,209
MK11,"California, USA",103
MK11,"Florida, USA",71
MK11,"Texas, USA",69
MK11,"Los Angeles, CA",58
POKEMONGO,日本,164
POKEMONGO,日本 大阪,84
POKEMONGO,....,58
POKEMONGO,United States,54
POKEMONGO,"Recife, Brasil",54
